Isolate location	Isolate location category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Kenya: Kisumu	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kisumu, Powerhouse, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kisumu, Tilapia Beach, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kitui Town	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kuoyo, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kwale	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Lwanda Stream	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Machakos Town, Musilili stream	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Makueni, Makindu Town	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Maralal	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Mata village, Taveta	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Mathoungouta, Mwea	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Mazeras	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Mtito River	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Nandi	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Narok	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Nawa, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Near Machakos, Mwanyani River	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Nyabera	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Nyabera marsh near Kisumu	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Seka Kagwa, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Usare Beach, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Wistima, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: coastal region	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Laos: Ban Hat-Xai-Khoun, Champassac Province, Mekong River	Laos	http://purl.obolibrary.org/obo/GAZ_00006889	Laos
Laos: Ban Hat-Xai-Khoun, Mekong River, Champassac Province	Laos	http://purl.obolibrary.org/obo/GAZ_00006889	Laos
Laos: Khong Island	Laos	http://purl.obolibrary.org/obo/GAZ_00006889	Laos
Madagascar: Antsirabe	Madagascar	http://purl.obolibrary.org/obo/GAZ_00001108	Madagascar
Madagascar: Ihosy	Madagascar	http://purl.obolibrary.org/obo/GAZ_00001108	Madagascar
Madagascar: Mananjary Town	Madagascar	http://purl.obolibrary.org/obo/GAZ_00001108	Madagascar
Malaysia: Baling	Malaysia	http://purl.obolibrary.org/obo/GAZ_00003902	Malaysia
Malaysia: Baling, Kedah State	Malaysia	http://purl.obolibrary.org/obo/GAZ_00003902	Malaysia
Mali: Bamako, Farako River	Mali	http://purl.obolibrary.org/obo/GAZ_00000584	Mali
Philippines: Asuncion	Philippines	http://purl.obolibrary.org/obo/GAZ_00004525	The Philippines
Philippines: Asuncium	Philippines	http://purl.obolibrary.org/obo/GAZ_00004525	The Philippines
Philippines: Letye	Philippines	http://purl.obolibrary.org/obo/GAZ_00004525	The Philippines
Philippines: Leyte	Philippines	http://purl.obolibrary.org/obo/GAZ_00004525	The Philippines
Philippines: Mindoro	Philippines	http://purl.obolibrary.org/obo/GAZ_00004525	The Philippines
Philippines: Sorsogon	Philippines	http://purl.obolibrary.org/obo/GAZ_00004525	The Philippines
Philippines: Sorsogor	Philippines	http://purl.obolibrary.org/obo/GAZ_00004525	The Philippines
Puerto Rico: Caguas Valley	Puerto Rico	http://purl.obolibrary.org/obo/GAZ_00002822	Puerto Rico
Puerto Rico: PR1 long term lab isolate Eric S. Loker	Puerto Rico	http://purl.obolibrary.org/obo/GAZ_00002822	Puerto Rico
Russia: Moscow, Altufevo Ponds	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
Russia: Moscow, Altufyevo ponds	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
Russia: Moscow, Lianozovo ponds	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
Russia: Moscow, Olympijskaja Derevnja Ponds	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
Russia: Moscow, Olympiyskaya derevnya ponds	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
Russia: Moscow, Putyaevo ponds	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
Russia: Moscow, Tsaritsino ponds	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
Russia: Westen Siberia, Kargat River	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
Russia: Western Siberia, Novosibirsk region, Kargat River	Russia	http://purl.obolibrary.org/obo/GAZ_00002721	Russia
