Isolate host	Isolate host category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Bos taurus breed Angus, isolate 13 (ToSp2)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Hereford, isolate 32 (ToHp1)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Hereford, isolate 44 (ToHM1)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Hereford, isolate 44 (ToHp3)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Hereford, isolate 72 (ToHp2)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Hereford, isolate 73 (ToHM3)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Holstein, isolate 55 (ToTp1)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Holstein, isolate 60 (ToTM1)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Japanese black x Hereford, isolate 34 (ToSM3)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Japanese black x Hereford, isolate 34 (ToSp1)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Japanese Short Horn, isolate 71 (ToHM2)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus cattle no.136	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus cattle no.192	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
