variable	variable2	values	mappedTerms	valueOrder
ext_crypt_sb_btestr::qk_cd140	ext_crypt_sb_btestr::qk_cd140	NA	NA	
ext_crypt_sb_btestr::qk_hd140	ext_crypt_sb_btestr::qk_hd140	NA	NA	
ext_crypt_sb_btestr::qk_mt140	ext_crypt_sb_btestr::qk_mt140	NA	NA	
ext_crypt_sb_btestr::ql_cd160	ext_crypt_sb_btestr::ql_cd160	NA	NA	
ext_crypt_sb_btestr::ql_hd160	ext_crypt_sb_btestr::ql_hd160	NA	NA	
ext_crypt_sb_btestr::ql_mt160	ext_crypt_sb_btestr::ql_mt160	NA	NA	
ext_crypt_sb_btestr::qm_cd180	ext_crypt_sb_btestr::qm_cd180	NA	NA	
ext_crypt_sb_btestr::qm_hd180	ext_crypt_sb_btestr::qm_hd180	NA	NA	
ext_crypt_sb_btestr::qm_mt180	ext_crypt_sb_btestr::qm_mt180	NA	NA	
ext_crypt_sb_btestr::sb_num	ext_crypt_sb_btestr::sb_num	NA	NA	
ext_crypt_sb_btestr::wt	ext_crypt_sb_btestr::wt	NA	NA	
ext_crypt_sb_fuv::circum	ext_crypt_sb_fuv::circum	NA	NA	
ext_crypt_sb_fuv::dov	ext_crypt_sb_fuv::dov	NA	NA	
ext_crypt_sb_fuv::ht	ext_crypt_sb_fuv::ht	NA	NA	
ext_crypt_sb_fuv::q6a	ext_crypt_sb_fuv::q6a	NA	NA	
ext_crypt_sb_fuv::q6e	ext_crypt_sb_fuv::q6e	NA	NA	
ext_crypt_sb_fuv::q6f	ext_crypt_sb_fuv::q6f	NA	NA	
ext_crypt_sb_fuv::q6g	ext_crypt_sb_fuv::q6g	NA	NA	
ext_crypt_sb_fuv::q6h	ext_crypt_sb_fuv::q6h	NA	NA	
ext_crypt_sb_fuv::q7c	ext_crypt_sb_fuv::q7c	NA	NA	
ext_crypt_sb_fuv::q7d	ext_crypt_sb_fuv::q7d	NA	NA	
ext_crypt_sb_fuv::q8c	ext_crypt_sb_fuv::q8c	NA	NA	
ext_crypt_sb_fuv::q9c	ext_crypt_sb_fuv::q9c	NA	NA	
ext_crypt_sb_fuv::wt	ext_crypt_sb_fuv::wt	NA	NA	
ext_crypt_wztalsc::dov	ext_crypt_wztalsc::dov	NA	NA	
ext_crypt_wztalsc::total	ext_crypt_wztalsc::total	NA	NA	
ext_crypt_wztalsc::visitnum	ext_crypt_wztalsc::visitnum	NA	NA	
ext_crypt_wztrack::doi	ext_crypt_wztrack::doi	NA	NA	
ext_crypt_wztrack::enddate	ext_crypt_wztrack::enddate	NA	NA	
ext_crypt_wztrack::strtdate	ext_crypt_wztrack::strtdate	NA	NA	
